# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
211000 -3.38831 729030 40.3695 27.6869 652.256 -105271 53513.2 -10.7041 2.37093 -1.83178
212000 2.1377 729386 40.3325 27.731 652.135 -105481 53364.5 -3.17273 -7.10321 16.6891
213000 4.91746 729415 40.2779 27.7708 652.107 -105329 53424.3 14.4406 3.77727 -3.4655
214000 -8.98152 729535 40.2933 27.7671 652.052 -105421 53417 -7.85 -15.6983 -3.39629
215000 18.7894 728787 40.3201 27.7155 652.163 -105224 53488.2 -2.41287 30.0284 28.7527
216000 -9.02509 728258 40.3085 27.6856 652.583 -105332 53432.2 4.85957 -13.5056 -18.4293
217000 8.34257 729273 40.3943 27.6792 652.253 -105190 53536.9 -2.67264 10.1559 17.5444
218000 -5.36702 728945 40.2813 27.7309 652.57 -105295 53456.1 10.2727 -8.39748 -17.9762
219000 14.419 729182 40.3507 27.7089 652.178 -105363 53443.1 -26.2408 29.6383 39.8596
220000 -9.03634 729751 40.3247 27.7232 652.769 -105178 53476.5 23.6745 -10.9615 -39.822
221000 6.32305 729427 40.3742 27.7048 652.113 -105243 53461.3 3.12671 24.0321 -8.18972
222000 4.02111 729325 40.3277 27.7558 651.576 -105154 53451 7.62731 -5.75471 10.1907
223000 -10.5959 729835 40.3619 27.7586 651.412 -105154 53486.4 11.0796 -35.895 -6.97226
224000 2.77929 728873 40.3896 27.6786 651.986 -105223 53464.5 1.61925 11.2102 -4.49161
225000 8.61353 728996 40.4894 27.6409 651.376 -105222 53424.1 9.4175 -0.512542 16.9356
226000 -19.9189 728466 40.5145 27.6075 651.287 -105305 53450.4 -26.5919 -30.8926 -2.27224
227000 20.3163 728455 40.4857 27.5994 651.931 -105239 53497.9 33.4711 31.92 -4.44211
228000 -2.98098 728641 40.4663 27.6162 652.015 -105269 53463.7 9.56446 4.22989 -22.7373
