# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
202000 -636.046 730228 39.97 26.95 677.9 -105902 53475.2 -39.219 -4.24487 -1864.67
203000 -690.237 730228 39.97 26.95 677.9 -105929 53506.8 -17.0643 61.5514 -2115.2
204000 -714.524 730228 39.97 26.95 677.9 -106003 53481.7 -71.1324 12.8449 -2085.28
205000 -715.305 730228 39.97 26.95 677.9 -106061 53446.2 -87.4818 -33.4868 -2024.95
206000 -663.203 730228 39.97 26.95 677.9 -105990 53444.9 -46.3074 25.9246 -1969.23
207000 -735.175 730228 39.97 26.95 677.9 -106036 53422.1 -178.115 -18.8774 -2008.53
208000 -644.388 730228 39.97 26.95 677.9 -106160 53372.5 -111.245 98.2367 -1920.15
209000 -648.108 730228 39.97 26.95 677.9 -106147 53405.9 14.1275 14.6371 -1973.09
210000 -586.61 730228 39.97 26.95 677.9 -106035 53406.8 52.003 93.6168 -1905.45
211000 -720.007 730228 39.97 26.95 677.9 -105851 53554.4 -155.133 -11.9581 -1992.93
212000 -585.842 730228 39.97 26.95 677.9 -105995 53489.2 11.2391 96.0983 -1864.86
213000 -570.795 730228 39.97 26.95 677.9 -105868 53523.4 38.1359 67.9192 -1818.44
214000 -674.511 730228 39.97 26.95 677.9 -105762 53485.5 -94.8624 21.0746 -1949.75
215000 -656.956 730228 39.97 26.95 677.9 -105916 53458.2 -51.193 -2.03603 -1917.64
216000 -629.46 730228 39.97 26.95 677.9 -105871 53512.8 -26.5297 46.3526 -1908.2
217000 -667.76 730228 39.97 26.95 677.9 -105953 53453.1 -126.052 59.43 -1936.66
218000 -663.736 730228 39.97 26.95 677.9 -105903 53459.7 -100.253 65.641 -1956.6
219000 -666.188 730228 39.97 26.95 677.9 -105929 53453.9 -11.3667 -10.1159 -1977.08
220000 -614.864 730228 39.97 26.95 677.9 -105772 53496.3 -9.45986 91.1611 -1926.29
221000 -649.719 730228 39.97 26.95 677.9 -106063 53486.6 -22.5277 -33.7334 -1892.9
222000 -697.097 730228 39.97 26.95 677.9 -105897 53436.1 -96.3002 1.10716 -1996.1
223000 -664.542 730228 39.97 26.95 677.9 -106078 53387.5 -29.9729 8.97672 -1972.63
224000 -679.261 730228 39.97 26.95 677.9 -105896 53556.1 33.6905 -35.9559 -2035.52
225000 -705.705 730228 39.97 26.95 677.9 -106000 53516.2 -32.9332 -76.3488 -2007.83
226000 -680.105 730228 39.97 26.95 677.9 -106100 53435.8 23.9183 -34.8758 -2029.36
227000 -636.732 730228 39.97 26.95 677.9 -106121 53452.9 7.16961 -30.7074 -1886.66
228000 -700.876 730228 39.97 26.95 677.9 -106076 53495.2 -110.921 41.1177 -2032.83
229000 -686.184 730228 39.97 26.95 677.9 -106102 53430.3 -106.54 -10.3222 -1941.69
230000 -667.725 730228 39.97 26.95 677.9 -106160 53418 -63.9498 5.25811 -1944.48
231000 -598.309 730228 39.97 26.95 677.9 -106026 53439.7 25.7975 77.5854 -1898.31
232000 -680.327 730228 39.97 26.95 677.9 -106256 53347.5 -7.23924 -52.1387 -1981.6
233000 -667.036 730228 39.97 26.95 677.9 -106166 53318.4 -91.5987 72.371 -1981.88
234000 -627.996 730228 39.97 26.95 677.9 -106096 53436.1 -11.0886 66.3652 -1939.26
235000 -631.431 730228 39.97 26.95 677.9 -105962 53437.8 -5.06957 26.3968 -1915.62
236000 -667.767 730228 39.97 26.95 677.9 -106126 53306.8 -53.8245 -31.1555 -1918.32
237000 -662.731 730228 39.97 26.95 677.9 -106037 53403.2 -88.3598 10.1602 -1909.99
238000 -678.239 730228 39.97 26.95 677.9 -105890 53479.4 -117.4 54.912 -1972.23
239000 -682.54 730228 39.97 26.95 677.9 -106013 53441.9 -55.7407 -8.52009 -1983.36
240000 -706.909 730228 39.97 26.95 677.9 -105991 53402.6 -124.054 30.3065 -2026.98
241000 -705.144 730228 39.97 26.95 677.9 -105886 53465.7 -101.579 21.6538 -2035.51
242000 -650.588 730228 39.97 26.95 677.9 -105932 53523.2 -13.9379 17.5386 -1955.36
243000 -640.617 730228 39.97 26.95 677.9 -105998 53421.4 -55.685 75.2678 -1941.43
244000 -672.768 730228 39.97 26.95 677.9 -105975 53383.8 -118.185 66.7326 -1966.85
245000 -619.625 730228 39.97 26.95 677.9 -105786 53458.9 -70.7644 151.86 -1939.97
246000 -649.561 730228 39.97 26.95 677.9 -105867 53441.3 -123.326 174.203 -1999.56
247000 -653.324 730228 39.97 26.95 677.9 -105850 53494.5 -66.0875 109.541 -2003.42
248000 -652.565 730228 39.97 26.95 677.9 -105986 53439.2 -87.8708 51.5487 -1921.37
249000 -594.997 730228 39.97 26.95 677.9 -106122 53480.1 4.69113 89.515 -1879.2
250000 -659.489 730228 39.97 26.95 677.9 -106237 53431 -170.816 -26.9133 -1780.74
